Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.6407322347096113,0.4600984997789752,0.7645004987886561,0.8346666666666667
2,0.44437496168496404,0.41168590208039957,0.841100185264358,0.848
3,0.3788200980860349,0.3247722333614179,0.8650420407581587,0.8916666666666667
4,0.34706171619021187,0.32891014230219606,0.8782243123842097,0.883
5,0.3363235770941597,0.317843425711815,0.8836397320792362,0.8903333333333333
6,0.31078918152339924,0.31397062655478875,0.8904090066980191,0.893
7,0.2883351108305939,0.3029421756992691,0.8942568049023799,0.8963333333333333
8,0.2812027241099099,0.3152824345421284,0.8989596693743765,0.894
9,0.2698553644256777,0.343027078566399,0.8996009690751033,0.8853333333333333
10,0.2612071217518283,0.3156449030292161,0.9052301553370387,0.888
11,0.24384275532952726,0.3024987018211408,0.9093629756306114,0.8943333333333333
12,0.23970877841863458,0.3604608816391927,0.9131395183126693,0.886
13,0.23101658378323736,0.2931341312607711,0.9162747612940003,0.901
14,0.23137053338700234,0.3333071280776107,0.9171298275616361,0.891
15,0.2136378403599948,0.3201702231091715,0.923614080091207,0.894
16,0.21139991064832364,0.2940718084276515,0.9211201368106028,0.9033333333333333
17,0.2009079638894086,0.3004028684870796,0.9244691463588428,0.8976666666666666
18,0.19627962080276992,0.295026346519738,0.9298133105315662,0.9
19,0.1898356089496041,0.31756911548863886,0.9299558215761722,0.9016666666666666
20,0.1805284201937247,0.31198833216764427,0.933946130825139,0.9066666666666666
21,0.16210450784443584,0.27187402253757487,0.9396465726093772,0.9096666666666666
22,0.1624085125279481,0.2949649270690799,0.9401453612654981,0.904
23,0.1589529003254797,0.379990907395853,0.9417842382784666,0.8776666666666667
24,0.14631513849147446,0.47881877025034514,0.9459883140943424,0.857
25,0.14940151675140748,0.29929962680050287,0.9444919481259798,0.9033333333333333
26,0.14272711542753935,0.36696208903486743,0.94712840245119,0.8853333333333333
27,0.13379603287111544,0.31156241472443924,0.9515462448339747,0.905
28,0.13623688110473595,0.2987439068098691,0.9514037337893687,0.9043333333333333
29,0.1222466213817891,0.33129924343542216,0.9543964657260938,0.9013333333333333
30,0.1266625147434079,0.34830107616057543,0.9518312669231865,0.902
31,0.12047589312681767,0.32370996095755317,0.9558215761721534,0.905
32,0.11148535568675358,0.35256728109968033,0.9581730084081517,0.893
33,0.10484103481689272,0.4150651904136349,0.9605956961664529,0.885
34,0.10834672900563165,0.38505760001816214,0.9583155194527576,0.8936666666666667
35,0.09829347165935082,0.47651746993939553,0.9615932734786946,0.8733333333333333
36,0.1004236285621513,0.34453574334211806,0.9618782955679065,0.909
37,0.09349011055663756,0.33882859021306355,0.9640872167592989,0.9063333333333333
38,0.08468861012298563,0.3425949108333295,0.9685050591420835,0.8993333333333333
39,0.09156220546736463,0.38937970943547084,0.9655123272053584,0.9006666666666666
40,0.08333451150370055,0.37854136967422514,0.9681487815305686,0.9016666666666666
41,0.08038814244026395,0.37143171810299813,0.969930169588143,0.9033333333333333
42,0.0862508126073113,0.3948027087943898,0.9669374376514179,0.896
43,0.07550568467529159,0.390164616188292,0.9720678352572324,0.904
44,0.07487465012111577,0.3885726032675209,0.9717115576457176,0.9006666666666666
45,0.07503951392529881,0.4112420136632941,0.9714977910788086,0.8906666666666667
46,0.070916049723826,0.4289912376812897,0.9737067122702009,0.8896666666666667
47,0.06403897922873054,0.4105093276773411,0.9754168448054724,0.893
48,0.07243861464707002,0.3974054394391405,0.9723528573464444,0.8953333333333333
49,0.07201841387968962,0.444229389861806,0.9726378794356563,0.8823333333333333
50,0.053391142503505136,0.4206707726605484,0.9787658543537124,0.9033333333333333
