Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,0.4141405964389854,0.5764637688795725,0.8495795924184124,0.7843333333333333
2,0.290159257453516,0.30455651607674855,0.8903377511757161,0.8873333333333333
3,0.24244491796974743,0.751124809399092,0.9093629756306114,0.7813333333333333
4,0.23647439978811718,0.46314866448907804,0.9114293857773977,0.8376666666666667
5,0.20957528827113842,0.27497341340252507,0.9216189254667236,0.9026666666666666
6,0.1914486351226448,0.26302442567733425,0.9265355565056291,0.9066666666666666
7,0.18988725959981254,0.30084937061959255,0.9274618782955679,0.902
8,0.1729566361242478,0.31574844995824,0.9331623200798062,0.898
9,0.16140567511320114,0.33927894073228043,0.9365113296280462,0.8843333333333333
10,0.14976876522969762,0.4271482597105205,0.94043038335471,0.8603333333333333
11,0.1422259850307889,0.32760997163131833,0.9432093487245261,0.891
12,0.13648664602719315,0.3208543402142823,0.9449194812597976,0.8843333333333333
13,0.12794397183514516,0.3076867546575765,0.9488385349864614,0.8993333333333333
14,0.11506034074983465,0.3345380420796573,0.9531851218469432,0.9063333333333333
15,0.126695414099398,0.3140722579555586,0.9471996579734929,0.9
16,0.10360459745818869,0.281665400446703,0.9563203648282742,0.913
17,0.09696548008317248,0.3560276650338589,0.960453185121847,0.8966666666666666
18,0.08750658487439703,0.36640318879896466,0.9619495510902095,0.9003333333333333
19,0.09334661254505498,0.37416783297279227,0.9621633176571184,0.8843333333333333
20,0.07031952235164173,0.30657673615496606,0.9681487815305686,0.914
21,0.07301317430485826,0.32180628230950487,0.9690751033205074,0.9096666666666666
22,0.07811521326935073,0.3166661093321939,0.9672224597406299,0.9096666666666666
23,0.06720027305322503,0.32638580615942675,0.9712840245118997,0.918
24,0.06247626085244461,0.34120112696352106,0.9719965797349295,0.9083333333333333
25,0.055605384307580254,0.4524952833210894,0.9746330340601397,0.8956666666666667
26,0.04978885077401449,0.4208298822244008,0.9759868889838963,0.9023333333333333
27,0.06019912746845992,0.3871901125336687,0.9724241128687473,0.898
28,0.05514049471928439,0.3000539348577149,0.9752743337608665,0.9143333333333333
29,0.04307016957158206,0.34292420325800776,0.9788371098760154,0.918
30,0.058347007221277426,0.3792353435322487,0.9742055009263217,0.9006666666666666
31,0.04948638188182761,0.3311340725437428,0.9765569331623201,0.915
32,0.030915290681183885,0.43809265612314147,0.983326207781103,0.9046666666666666
33,0.05436638279587304,0.36105385054058087,0.9756306113723814,0.908
34,0.04357733525369966,0.389124047011137,0.9791221319652273,0.9113333333333333
35,0.03324673874218256,0.3804874460911378,0.9825423970357703,0.919
36,0.04116522010689208,0.39007338508963585,0.9787658543537124,0.9106666666666666
37,0.04338040589910308,0.42156894668005407,0.9792646430098333,0.904
38,0.03447150121391708,0.41237452377875644,0.9831836967364971,0.9086666666666666
39,0.03486283959761057,0.37530847074231133,0.9826136525580732,0.9183333333333333
40,0.03440666894872733,0.3967609354682888,0.9822573749465584,0.91
41,0.041313118480761114,0.38794384415571886,0.9812597976343167,0.912
42,0.029735838951662593,0.42232773143041413,0.9847513182271626,0.9143333333333333
43,0.03186044224469555,0.39210840310018585,0.9831836967364971,0.919
44,0.029378185150162273,0.4373254836743096,0.983753740914921,0.9056666666666666
45,0.025370722043823554,0.4586217002943158,0.9853926179278895,0.915
46,0.02494606668334625,0.4264158255925092,0.9856776400171013,0.9133333333333333
47,0.03850001703366774,0.39494900826442364,0.9803334758443779,0.9186666666666666
48,0.024634540669508962,0.45720041745031875,0.9860339176286163,0.9136666666666666
49,0.03579491655846391,0.42279040766879916,0.9816160752458315,0.913
50,0.03756947021764797,0.4441728924090664,0.9810460310674077,0.902
